uid,exe,job_id,rank,ProducerName,file,record_id,module,type,max_byte,switches,flushes,cnt,op,pt_sel,irreg_hslab,reg_hslab,ndims,npoints,off,len,start,dur,total,timestamp
99066,N/A,17219232,0,ec2,<STDIN>,92233720368547758,STDIO,MET,18446744073709551,18446744073709551,18446744073709551,1,open,18446744073709551,18446744073709551,18446744073709551,18446744073709551,18446744073709551,18446744073709551,18446744073709551,0.000000,0.000000,0.000000,1694984499.947420
99066,N/A,17219232,0,ec2,<STDOUT>,92233720368547758,STDIO,MET,18446744073709551,18446744073709551,18446744073709551,1,open,18446744073709551,18446744073709551,18446744073709551,18446744073709551,18446744073709551,18446744073709551,18446744073709551,0.000000,0.000000,0.000000,1694984499.947420
99066,N/A,17219232,0,ec2,<STDERR>,72382572414791935,STDIO,MET,18446744073709551,18446744073709551,18446744073709551,1,open,18446744073709551,18446744073709551,18446744073709551,18446744073709551,18446744073709551,18446744073709551,18446744073709551,0.000000,0.000000,0.000000,1694984499.947420
99066,/projects/ovis/omar/redHat7.9_run/hacc-io/hacc_io,17219232,9,ec6,/pscratch/spwalto/haccTest/darshan-Part00000009-of-00000032.data,41601901209895712,POSIX,MET,18446744073709551,18446744073709551,18446744073709551,1,open,18446744073709551,18446744073709551,18446744073709551,18446744073709551,18446744073709551,18446744073709551,18446744073709551,4.292710,0.004675,0.004675,1694984504.208783
99066,/projects/ovis/omar/redHat7.9_run/hacc-io/hacc_io,17219232,15,ec9,/pscratch/spwalto/haccTest/darshan-Part00000015-of-00000032.data,92233720368547758,POSIX,MET,18446744073709551,18446744073709551,18446744073709551,1,open,18446744073709551,18446744073709551,18446744073709551,18446744073709551,18446744073709551,18446744073709551,18446744073709551,4.288678,0.005196,0.005196,1694984504.209004
99066,/projects/ovis/omar/redHat7.9_run/hacc-io/hacc_io,17219232,27,ec15,/pscratch/spwalto/haccTest/darshan-Part00000027-of-00000032.data,26172714036937621,POSIX,MET,18446744073709551,18446744073709551,18446744073709551,1,open,18446744073709551,18446744073709551,18446744073709551,18446744073709551,18446744073709551,18446744073709551,18446744073709551,4.288849,0.004628,0.004628,1694984504.209046
99066,/projects/ovis/omar/redHat7.9_run/hacc-io/hacc_io,17219232,13,ec8,/pscratch/spwalto/haccTest/darshan-Part00000013-of-00000032.data,59370407479498209,POSIX,MET,18446744073709551,18446744073709551,18446744073709551,1,open,18446744073709551,18446744073709551,18446744073709551,18446744073709551,18446744073709551,18446744073709551,18446744073709551,4.288154,0.005123,0.005123,1694984504.209087
99066,/projects/ovis/omar/redHat7.9_run/hacc-io/hacc_io,17219232,31,ec33,/pscratch/spwalto/haccTest/darshan-Part00000031-of-00000032.data,92233720368547758,POSIX,MET,18446744073709551,18446744073709551,18446744073709551,1,open,18446744073709551,18446744073709551,18446744073709551,18446744073709551,18446744073709551,18446744073709551,18446744073709551,4.293518,0.004834,0.004834,1694984504.209136
99066,/projects/ovis/omar/redHat7.9_run/hacc-io/hacc_io,17219232,21,ec12,/pscratch/spwalto/haccTest/darshan-Part00000021-of-00000032.data,96713075720259540,POSIX,MET,18446744073709551,18446744073709551,18446744073709551,1,open,18446744073709551,18446744073709551,18446744073709551,18446744073709551,18446744073709551,18446744073709551,18446744073709551,4.292989,0.004683,0.004683,1694984504.209179
99066,/projects/ovis/omar/redHat7.9_run/hacc-io/hacc_io,17219232,11,ec7,/pscratch/spwalto/haccTest/darshan-Part00000011-of-00000032.data,59441928754130586,POSIX,MET,18446744073709551,18446744073709551,18446744073709551,1,open,18446744073709551,18446744073709551,18446744073709551,18446744073709551,18446744073709551,18446744073709551,18446744073709551,4.274391,0.005158,0.005158,1694984504.209240
99066,/projects/ovis/omar/redHat7.9_run/hacc-io/hacc_io,17219232,7,ec5,/pscratch/spwalto/haccTest/darshan-Part00000007-of-00000032.data,56447587063848955,POSIX,MET,18446744073709551,18446744073709551,18446744073709551,1,open,18446744073709551,18446744073709551,18446744073709551,18446744073709551,18446744073709551,18446744073709551,18446744073709551,4.287103,0.005297,0.005297,1694984504.209283
99066,/projects/ovis/omar/redHat7.9_run/hacc-io/hacc_io,17219232,17,ec10,/pscratch/spwalto/haccTest/darshan-Part00000017-of-00000032.data,92233720368547758,POSIX,MET,18446744073709551,18446744073709551,18446744073709551,1,open,18446744073709551,18446744073709551,18446744073709551,18446744073709551,18446744073709551,18446744073709551,18446744073709551,4.288972,0.005429,0.005429,1694984504.209447
99066,/projects/ovis/omar/redHat7.9_run/hacc-io/hacc_io,17219232,19,ec11,/pscratch/spwalto/haccTest/darshan-Part00000019-of-00000032.data,84037061395079929,POSIX,MET,18446744073709551,18446744073709551,18446744073709551,1,open,18446744073709551,18446744073709551,18446744073709551,18446744073709551,18446744073709551,18446744073709551,18446744073709551,4.288717,0.004688,0.004688,1694984504.209458
