# darshan log version: 3.41
# compression method: ZLIB
# exe: 
# uid: 99066
# jobid: 19040582
# start_time: 1713473476
# start_time_asci: Thu Apr 18 14:51:16 2024
# end_time: 1713473480
# end_time_asci: Thu Apr 18 14:51:20 2024
# nprocs: 36
# run time: 4.5939
# metadata: lib_ver = 3.4.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 1328 bytes (uncompressed)
# job data: 156 bytes (compressed)
# record table: 2086 bytes (compressed)
# POSIX module: 5470 bytes (compressed), ver=4
# LUSTRE module: 1354 bytes (compressed), ver=1
# STDIO module: 57 bytes (compressed), ver=2
# DXT_POSIX module: 93020 bytes (compressed), ver=1
# HEATMAP module: 5503 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 15866050084617259568, file_name: /pscratch/spwalto/iorTest/darshan.00000000
# DXT, rank: 0, hostname: ec20
# DXT, write_count: 128, read_count: 128
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write       81       339738624         4194304      0.8542      0.8724
 X_POSIX       0  write       82       343932928         4194304      0.8725      0.8791
 X_POSIX       0  write       83       348127232         4194304      0.8792      0.9000
 X_POSIX       0  write       84       352321536         4194304      0.9001      0.9070
 X_POSIX       0  write       85       356515840         4194304      0.9071      0.9275
 X_POSIX       0  write       86       360710144         4194304      0.9276      0.9334
 X_POSIX       0  write       87       364904448         4194304      0.9335      0.9619
 X_POSIX       0  write       88       369098752         4194304      0.9620      0.9677
 X_POSIX       0  write       89       373293056         4194304      0.9678      0.9753
 X_POSIX       0  write       90       377487360         4194304      0.9754      0.9820
 X_POSIX       0  write       91       381681664         4194304      0.9820      1.0199
 X_POSIX       0  write       92       385875968         4194304      1.0200      1.0273
 X_POSIX       0  write       93       390070272         4194304      1.0274      1.0344
 X_POSIX       0  write       94       394264576         4194304      1.0345      1.0606
 X_POSIX       0  write       95       398458880         4194304      1.0607      1.0671
 X_POSIX       0  write       96       402653184         4194304      1.0671      1.0731
 X_POSIX       0  write       97       406847488         4194304      1.0731      1.0798
 X_POSIX       0  write       98       411041792         4194304      1.0799      1.1167
 X_POSIX       0  write       99       415236096         4194304      1.1168      1.1235
 X_POSIX       0  write      100       419430400         4194304      1.1237      1.1299
 X_POSIX       0  write      101       423624704         4194304      1.1300      1.1696
 X_POSIX       0  write      102       427819008         4194304      1.1697      1.1762
 X_POSIX       0  write      103       432013312         4194304      1.1763      1.2151
 X_POSIX       0  write      104       436207616         4194304      1.2152      1.2221
 X_POSIX       0  write      105       440401920         4194304      1.2222      1.2287
 X_POSIX       0  write      106       444596224         4194304      1.2288      1.2691
 X_POSIX       0  write      107       448790528         4194304      1.2692      1.2761
 X_POSIX       0  write      108       452984832         4194304      1.2761      1.2841
 X_POSIX       0  write      109       457179136         4194304      1.2842      1.2913
 X_POSIX       0  write      110       461373440         4194304      1.2914      1.2973
 X_POSIX       0  write      111       465567744         4194304      1.2973      1.3436
 X_POSIX       0  write      112       469762048         4194304      1.3437      1.3503
 X_POSIX       0  write      113       473956352         4194304      1.3504      1.3568
 X_POSIX       0  write      114       478150656         4194304      1.3569      1.3632
 X_POSIX       0  write      115       482344960         4194304      1.3633      1.3700
 X_POSIX       0  write      116       486539264         4194304      1.3701      1.3761
 X_POSIX       0  write      117       490733568         4194304      1.3762      1.4182
 X_POSIX       0  write      118       494927872         4194304      1.4183      1.4247
 X_POSIX       0  write      119       499122176         4194304      1.4248      1.4312
 X_POSIX       0  write      120       503316480         4194304      1.4313      1.4377
 X_POSIX       0  write      121       507510784         4194304      1.4379      1.4445
 X_POSIX       0  write      122       511705088         4194304      1.4446      1.4513
 X_POSIX       0  write      123       515899392         4194304      1.4513      1.4873
 X_POSIX       0  write      124       520093696         4194304      1.4874      1.4941
 X_POSIX       0  write      125       524288000         4194304      1.4942      1.5015
