timestamp,component_id,job_id,app_id,fs_name,llite,dirty_pages_hits,dirty_pages_misses,read_bytes.sum,write_bytes.sum,brw_read.sum,brw_write.sum,ioctl,open,close,mmap,page_fault,page_mkwrite,seek,fsync,readdir,setattr,truncate,flock,getattr,create,link,unlink,symlink,mkdir,rmdir,mknod,rename,statfs,alloc_inode,setxattr,getxattr,getxattr_hits,listxattr,removexattr,inode_permission
1694984501.000873,600002,17219232,0,nscratch,nscratch-ffff892f3d2f4000,0,0,300594623639,173653139235,0,0,153362,267872,267872,120,2831,0,91650206,540,2871,313,39072,0,521767,0,0,23686,33,203,108,24886,49,2812,56423,135,65250,42762,143,39363,3527205
1694984501.001062,600002,17219232,0,pscratch,pscratch-ffff892fd901e800,0,0,6208196236604,3324329324660,0,0,3136988,16685083,16685079,1690947,336836808,59164,1254523613,13665,704240,94345,187867,0,51248507,0,0,491823,5119,44550,27246,594082,97506,15786,1095385,41,370805,335570,41,274309,16185970574
1694984501.001475,600009,17219232,0,nscratch,nscratch-ffff989219200800,0,0,49193241,363623905,0,0,762,981,981,0,0,0,1830,0,32,27,114,0,2327,0,0,0,3,4,0,82,4,200,154,12,134,56,13,139,17686
1694984501.001569,600009,17219232,0,pscratch,pscratch-ffff989218e47000,0,0,276562801432,293084863380,0,0,32740,77594,77594,6482,18765895,60449,29234995,1634,986,414,17836,0,135145,0,0,973,403,107,0,9043,67,888,12090,0,29113,27205,0,18250,1771101
1694984501.001618,600004,17219232,0,nscratch,nscratch-ffff8f2aca0bd000,0,0,284543022084,214915461296,0,0,171683,339826,339826,80,11139,0,74421242,216,1064,123,77405,0,585073,0,0,1027,12,1062,0,26006,26,1984,34795,51,107237,81696,52,77520,4094125
1694984501.001710,600008,17219232,0,nscratch,nscratch-ffff92743b62a800,0,0,28753942,356298948,0,0,268,491,491,0,0,0,1516,0,0,0,108,0,360,0,0,0,0,0,0,36,0,188,75,0,72,48,0,108,5890
1694984501.001711,600010,17219232,0,nscratch,nscratch-ffff8975b850d800,0,0,29391806816,9709635944,0,0,118592,65302,65302,508,601763,0,10177844,0,38,27,544,0,73985,0,0,648,3,7,3,1637,4,220,3122,12,2881,648,13,569,670381
1694984501.001729,600004,17219232,0,pscratch,pscratch-ffff8f2f2b25a800,0,0,5113108771906,3270308729756,0,0,2442003,30613246,30613246,570223,212848862,23876270,1138196724,365432,259242,489032,339559,0,24678004,31274,38009,428139,45800,139645,85818,529679,71274,15873,1680037,112,1024384,993470,123,746491,6833665364
1694984501.001729,600007,17219232,0,nscratch,nscratch-ffff9f28b9b77000,0,0,28753762,356313716,0,0,268,489,489,0,0,0,1516,0,0,0,107,0,360,0,0,0,0,0,0,37,0,188,73,0,72,48,0,107,5888
1694984501.001735,600003,17219232,0,nscratch,nscratch-ffff8c02fbdce000,0,0,2211322147,385966909,0,0,9496,14257,14257,0,0,0,2131,0,96,81,114,0,15678,0,0,0,9,12,0,183,12,208,614,36,258,69,39,189,194877
