timestamp,component_id,job_id,app_id,fs_name,llite,dirty_pages_hits,dirty_pages_misses,read_bytes.sum,write_bytes.sum,brw_read.sum,brw_write.sum,ioctl,open,close,mmap,page_fault,page_mkwrite,seek,fsync,readdir,setattr,truncate,flock,getattr,create,link,unlink,symlink,mkdir,rmdir,mknod,rename,statfs,alloc_inode,setxattr,getxattr,getxattr_hits,listxattr,removexattr,inode_permission
1694922581.000957,600016,17209747,0,nscratch,nscratch-ffff9beed8cde000,0,0,194280738651,155614720935,0,0,135235,435967,435967,544,503355,0,40058530,0,648,207,143406,0,786722,0,0,274,21,53,0,17296,23,486,25405,96,180953,157179,91,143599,2908102
1694922581.001088,600016,17209747,0,pscratch,pscratch-ffff9bfe58e26800,0,0,4488581095378,3123391562801,0,0,493839,4641574,4641572,96095,147505449,77852,885062303,7966,42564,12260,161456,0,14246765,0,0,120570,2948,7657,5568,289940,15336,16775,380629,2,267284,245773,2,172686,3512486797
1694922581.001286,600007,17209747,0,nscratch,nscratch-ffff9f28b9b77000,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1,0,0,0,0,0,64
1694922581.001341,600015,17209747,0,nscratch,nscratch-ffff94a7e51e7000,0,0,158539650463,134336579775,0,0,27949,312887,312887,488,424257,0,37937382,0,470,189,108434,0,588320,0,0,565,21,1029,2,17065,28,676,25552,84,137065,117768,91,108609,2349887
1694922581.001382,600007,17209747,0,pscratch,pscratch-ffff9f289fb4b000,0,0,193072841038,189519377430,0,0,562,9823,9821,1344,9387386,0,19723678,0,0,0,378,0,19257,0,0,270,0,0,0,4019,0,112,4775,0,1063,551,0,378,157469
1694922581.001425,600011,17209747,0,nscratch,nscratch-ffff97cc19374800,0,0,134086973301,109175359578,0,0,12521,151994,151994,208,119647,0,45095974,0,379,28,37953,0,308513,0,0,2977,3,46,13,9684,4,400,19631,12,53088,39322,13,37979,1899878
1694922581.001473,600015,17209747,0,pscratch,pscratch-ffff949ad8967800,0,0,5140485532422,3019622659726,0,0,1268283,7964894,7964892,731440,245080327,47386,1122471477,9061,288750,32938,168978,0,30475689,0,0,354799,2702,17030,11286,434004,34533,15219,684693,4,203899,178461,5,199155,8448118309
1694922581.001527,600011,17209747,0,pscratch,pscratch-ffff97cc192f3800,0,0,5434509830448,3416150378343,0,0,1692712,11283344,11283342,1012760,231222352,213894,1171184053,13666,429698,55402,175455,0,44899716,0,0,440178,4202,27812,20454,590195,61645,18994,901188,19,243994,214683,21,226134,13518952963
1694922581.001529,600008,17209747,0,nscratch,nscratch-ffff92743b62a800,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1,0,0,0,0,0,64
1694922581.001545,600013,17209747,0,nscratch,nscratch-ffffa072991e4000,0,0,238685832048,193880531894,0,0,145359,439512,439512,638,615584,0,56551976,0,1045,85,145439,0,810261,0,0,8871,9,86,39,11693,16,1118,26365,36,184438,158111,39,145518,3262000
1694922581.001550,600003,17209747,0,nscratch,nscratch-ffff8c02fbdce000,0,0,2124500280,0,0,0,5528,10800,10800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,79,0,0,0,0,0,102664
1694922581.001626,600008,17209747,0,pscratch,pscratch-ffff9264d928d800,0,0,261645416115,274436892629,0,0,17727,436287,436285,6235,13841099,35841,23703624,2558,6968,2374,12451,0,784965,0,0,3492,296,1991,293,18638,4350,1120,31356,0,15241,13342,0,14724,201686171
1694922581.001643,600003,17209747,0,pscratch,pscratch-ffff8c02fbdf2000,0,0,200801296072,197402969970,0,0,54103,64672,64670,5804,9102293,0,19749358,0,200,77,20350,0,111668,0,0,8994,28,437,404,5009,49,228,14035,0,43601,42870,0,20427,2052034
1694922581.001666,600013,17209747,0,pscratch,pscratch-ffffa081f3ea7800,0,0,4674064746183,3221917082515,0,0,336627,4332542,4332540,97965,156810833,227767,1062123257,16338,40934,12524,146371,0,13444495,0,0,161463,3363,6171,5369,281791,11871,15075,404628,29,248270,226918,31,157979,3347283732
1694922581.001732,600006,17209747,0,nscratch,nscratch-ffff9142192e4800,0,0,281470200791,155080245339,0,0,300713,763579,763579,1356,1253523,0,71010905,6,5205,22633,84815,0,2973654,0,5,71422,21,27615,212,157346,49069,1127,281913,72,123052,93113,78,107314,260377948
1694922581.001792,600009,17209747,0,nscratch,nscratch-ffff989219200800,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1,0,0,0,0,0,64
