#module,uid,ProducerName,switches,file,rank,flushes,record_id,exe,max_byte,type,job_id,op,cnt,schema,seg:off,seg:pt_sel,seg:dur,seg:len,seg:ndims,seg:reg_hslab,seg:irreg_hslab,seg:npoints,seg:timestamp,seg:total,seg:start
STDIO,12345,n1119,-1,N/A,0,2,9223372036854775807,N/A,291,MOD,19047177,write,22,N/A,292,-1,0.000000,0,-1,-1,-1,-1,1713585247.531493,0.000017,0.068221
STDIO,12345,n1119,-1,N/A,0,2,9223372036854775807,N/A,315,MOD,19047177,write,23,N/A,292,-1,0.000001,24,-1,-1,-1,-1,1713585247.531563,0.000018,0.068290
STDIO,12345,n1119,-1,N/A,0,2,9223372036854775807,N/A,362,MOD,19047177,write,24,N/A,316,-1,0.000000,47,-1,-1,-1,-1,1713585247.531575,0.000018,0.068302
STDIO,12345,n1119,-1,N/A,0,2,9223372036854775807,N/A,427,MOD,19047177,write,25,N/A,363,-1,0.000002,65,-1,-1,-1,-1,1713585247.532399,0.000020,0.069125
STDIO,12345,n1119,-1,N/A,0,2,9223372036854775807,N/A,480,MOD,19047177,write,26,N/A,428,-1,0.000005,53,-1,-1,-1,-1,1713585247.532440,0.000025,0.069163
STDIO,12345,n1119,-1,N/A,0,2,9223372036854775807,N/A,519,MOD,19047177,write,27,N/A,481,-1,0.000002,39,-1,-1,-1,-1,1713585247.532453,0.000026,0.069179
STDIO,12345,n1119,-1,N/A,0,3,9223372036854775807,N/A,519,MOD,19047177,write,27,N/A,520,-1,0.000005,0,-1,-1,-1,-1,1713585247.532465,0.000031,0.069189
STDIO,12345,n1119,-1,N/A,0,4,9223372036854775807,N/A,519,MOD,19047177,write,27,N/A,520,-1,0.000000,0,-1,-1,-1,-1,1713585247.532478,0.000031,0.069206
STDIO,12345,n1119,-1,N/A,0,4,9223372036854775807,N/A,530,MOD,19047177,write,28,N/A,520,-1,0.000000,11,-1,-1,-1,-1,1713585247.532486,0.000032,0.069214
STDIO,12345,n1119,-1,N/A,0,4,9223372036854775807,N/A,558,MOD,19047177,write,29,N/A,531,-1,0.000000,28,-1,-1,-1,-1,1713585247.532495,0.000032,0.069223
STDIO,12345,n1119,-1,N/A,0,4,9223372036854775807,N/A,581,MOD,19047177,write,30,N/A,559,-1,0.000001,23,-1,-1,-1,-1,1713585247.532506,0.000033,0.069234
STDIO,12345,n1119,-1,N/A,0,4,9223372036854775807,N/A,637,MOD,19047177,write,31,N/A,582,-1,0.000000,56,-1,-1,-1,-1,1713585247.532515,0.000033,0.069243
STDIO,12345,n1119,-1,N/A,0,4,9223372036854775807,N/A,676,MOD,19047177,write,32,N/A,638,-1,0.000000,39,-1,-1,-1,-1,1713585247.532520,0.000034,0.069248
STDIO,12345,n1119,-1,N/A,0,4,9223372036854775807,N/A,710,MOD,19047177,write,33,N/A,677,-1,0.000000,34,-1,-1,-1,-1,1713585247.532525,0.000034,0.069252
STDIO,12345,n1119,-1,N/A,0,4,9223372036854775807,N/A,735,MOD,19047177,write,34,N/A,711,-1,0.000000,25,-1,-1,-1,-1,1713585247.532530,0.000035,0.069257
STDIO,12345,n1119,-1,N/A,0,4,9223372036854775807,N/A,768,MOD,19047177,write,35,N/A,736,-1,0.000000,33,-1,-1,-1,-1,1713585247.532534,0.000035,0.069262
STDIO,12345,n1119,-1,N/A,0,4,9223372036854775807,N/A,811,MOD,19047177,write,36,N/A,769,-1,0.000000,43,-1,-1,-1,-1,1713585247.532539,0.000035,0.069267
STDIO,12345,n1119,-1,N/A,0,4,9223372036854775807,N/A,835,MOD,19047177,write,37,N/A,812,-1,0.000000,24,-1,-1,-1,-1,1713585247.532544,0.000035,0.069272
STDIO,12345,n1119,-1,N/A,0,4,9223372036854775807,N/A,859,MOD,19047177,write,38,N/A,836,-1,0.000000,24,-1,-1,-1,-1,1713585247.532552,0.000036,0.069280
STDIO,12345,n1119,-1,N/A,0,4,9223372036854775807,N/A,884,MOD,19047177,write,39,N/A,860,-1,0.000000,25,-1,-1,-1,-1,1713585247.532558,0.000036,0.069286
STDIO,12345,n1119,-1,N/A,0,4,9223372036854775807,N/A,909,MOD,19047177,write,40,N/A,885,-1,0.000000,25,-1,-1,-1,-1,1713585247.532562,0.000036,0.069290
STDIO,12345,n1119,-1,N/A,0,4,9223372036854775807,N/A,935,MOD,19047177,write,41,N/A,910,-1,0.000000,26,-1,-1,-1,-1,1713585247.532567,0.000037,0.069295
STDIO,12345,n1119,-1,N/A,0,4,9223372036854775807,N/A,961,MOD,19047177,write,42,N/A,936,-1,0.000000,26,-1,-1,-1,-1,1713585247.532572,0.000037,0.069300
STDIO,12345,n1119,-1,N/A,0,4,9223372036854775807,N/A,985,MOD,19047177,write,43,N/A,962,-1,0.000000,24,-1,-1,-1,-1,1713585247.532577,0.000037,0.069304
STDIO,12345,n1119,-1,N/A,0,4,9223372036854775807,N/A,1009,MOD,19047177,write,44,N/A,986,-1,0.000000,24,-1,-1,-1,-1,1713585247.532581,0.000037,0.069309
STDIO,12345,n1119,-1,N/A,0,4,9223372036854775807,N/A,1037,MOD,19047177,write,45,N/A,1010,-1,0.000000,28,-1,-1,-1,-1,1713585247.532588,0.000038,0.069316
STDIO,12345,n1119,-1,N/A,0,4,9223372036854775807,N/A,1066,MOD,19047177,write,46,N/A,1038,-1,0.000000,29,-1,-1,-1,-1,1713585247.532593,0.000038,0.069321
STDIO,12345,n1119,-1,N/A,0,4,9223372036854775807,N/A,1095,MOD,19047177,write,47,N/A,1067,-1,0.000000,29,-1,-1,-1,-1,1713585247.532598,0.000038,0.069326
