timestamp,component_id,job_id,app_id,fs_name,llite,dirty_pages_hits,dirty_pages_misses,read_bytes.sum,write_bytes.sum,brw_read.sum,brw_write.sum,ioctl,open,close,mmap,page_fault,page_mkwrite,seek,fsync,readdir,setattr,truncate,flock,getattr,create,link,unlink,symlink,mkdir,rmdir,mknod,rename,statfs,alloc_inode,setxattr,getxattr,getxattr_hits,listxattr,removexattr,inode_permission
1698028721.001864,600001,17533963,0,nscratch,nscratch-ffff91aa9936b800,0,0,14560616789,11086201470,0,0,365,7883,7883,792,1121901,0,4549026,0,528,0,1802,0,8522,0,0,1660,0,2,0,1951,1,224,2257,0,2551,554,0,1802,115087
1698028721.001968,600001,17533963,0,pscratch,pscratch-ffff91ba23a14800,0,0,4617036826889,2129692319671,0,0,1198776,9095052,9095050,844940,119301088,0,3412883494,6516,391040,56557,39128,0,54955447,0,0,595513,1637,30461,24898,626388,70915,726,901559,0,44382,33730,0,90796,17662021926
1698028722.002368,600001,17533963,0,nscratch,nscratch-ffff91aa9936b800,0,0,14560616789,11086201470,0,0,365,7883,7883,792,1121901,0,4549026,0,528,0,1802,0,8522,0,0,1660,0,2,0,1951,1,224,2257,0,2551,554,0,1802,115087
1698028722.002543,600001,17533963,0,pscratch,pscratch-ffff91ba23a14800,0,0,4617036826889,2129692321723,0,0,1198776,9095052,9095050,844940,119301088,0,3412883494,6516,391040,56557,39128,0,54955447,0,0,595513,1637,30461,24898,626388,70915,726,901559,0,44382,33730,0,90796,17662021926
1698028723.002339,600001,17533963,0,nscratch,nscratch-ffff91aa9936b800,0,0,14560616789,11086201470,0,0,365,7883,7883,792,1121901,0,4549026,0,528,0,1802,0,8522,0,0,1660,0,2,0,1951,1,224,2257,0,2551,554,0,1802,115087
1698028723.002558,600001,17533963,0,pscratch,pscratch-ffff91ba23a14800,0,0,4617036826889,2129692321723,0,0,1198776,9095052,9095050,844940,119301088,0,3412883494,6516,391040,56557,39128,0,54955447,0,0,595513,1637,30461,24898,626388,70915,726,901559,0,44382,33730,0,90796,17662021926
1698028724.002224,600001,17533963,0,nscratch,nscratch-ffff91aa9936b800,0,0,14560616789,11086201470,0,0,365,7883,7883,792,1121901,0,4549026,0,528,0,1802,0,8522,0,0,1660,0,2,0,1951,1,224,2257,0,2551,554,0,1802,115087
1698028724.002398,600001,17533963,0,pscratch,pscratch-ffff91ba23a14800,0,0,4617036826889,2129692321723,0,0,1198776,9095052,9095050,844940,119301088,0,3412883494,6516,391040,56557,39128,0,54955447,0,0,595513,1637,30461,24898,626388,70915,726,901559,0,44382,33730,0,90796,17662021926
1698028725.001633,600001,17533963,0,nscratch,nscratch-ffff91aa9936b800,0,0,14560616789,11086201470,0,0,437,7883,7883,792,1121901,0,4549026,0,528,0,1802,0,8522,0,0,1660,0,2,0,1951,1,260,2257,0,2551,554,0,1802,115123
1698028725.001740,600001,17533963,0,pscratch,pscratch-ffff91ba23a14800,0,0,4617036826889,2138118679560,0,0,1198848,9095088,9095050,844940,119301088,0,3412887547,6516,391040,56557,39128,0,54955448,0,0,595513,1637,30461,24898,626424,70915,763,901595,0,44418,33730,0,90796,17662022398
1698028726.002203,600001,17533963,0,nscratch,nscratch-ffff91aa9936b800,0,0,14560616789,11086201470,0,0,437,7883,7883,792,1121901,0,4549026,0,528,0,1802,0,8522,0,0,1660,0,2,0,1951,1,260,2257,0,2551,554,0,1802,115123
