timestamp,component_id,job_id,app_id,fs_name,llite,dirty_pages_hits,dirty_pages_misses,read_bytes.sum,write_bytes.sum,brw_read.sum,brw_write.sum,ioctl,open,close,mmap,page_fault,page_mkwrite,seek,fsync,readdir,setattr,truncate,flock,getattr,create,link,unlink,symlink,mkdir,rmdir,mknod,rename,statfs,alloc_inode,setxattr,getxattr,getxattr_hits,listxattr,removexattr,inode_permission
1701413631.001513,600029,17827795,0,nscratch,nscratch-ffff8c3bba1c8800,0,0,494198172353,372908914942,0,0,54072,244135,244135,1584,6852817,0,107664409,36,356,162,17114,0,281681,0,0,436,18,76,0,59938,3114,2683,62074,72,134419,87782,78,17264,1894841
1701413631.001594,600029,17827795,0,pscratch,pscratch-ffff8c3bba1cf000,0,0,4690487620832,13289835393814,0,0,680711,2409843,2409841,283621,130179124,154722,292502607,12816,114330,12273,193839,0,12717106,0,0,125382,2156,6740,6085,176017,11676,7386,246911,12,235587,214937,13,205195,3568619869
1701413632.001968,600029,17827795,0,nscratch,nscratch-ffff8c3bba1c8800,0,0,494198172353,372908914942,0,0,54072,244135,244135,1584,6852817,0,107664409,36,356,162,17114,0,281681,0,0,436,18,76,0,59938,3114,2683,62074,72,134419,87782,78,17264,1894841
1701413632.002063,600029,17827795,0,pscratch,pscratch-ffff8c3bba1cf000,0,0,4690487620832,13289835393814,0,0,680711,2409843,2409841,283621,130179124,154722,292502607,12816,114330,12273,193839,0,12717106,0,0,125382,2156,6740,6085,176017,11676,7386,246911,12,235587,214937,13,205195,3568619869
1701413633.001577,600029,17827795,0,nscratch,nscratch-ffff8c3bba1c8800,0,0,494198172353,372908914942,0,0,54072,244135,244135,1584,6852817,0,107664409,36,356,162,17114,0,281681,0,0,436,18,76,0,59938,3114,2683,62074,72,134419,87782,78,17264,1894841
1701413633.001673,600029,17827795,0,pscratch,pscratch-ffff8c3bba1cf000,0,0,4690487620832,13289835393881,0,0,680711,2409844,2409841,283621,130179124,154722,292502607,12816,114330,12273,193839,0,12717106,0,0,125382,2156,6740,6085,176018,11676,7386,246912,12,235587,214937,13,205195,3568619874
1701413634.001830,600029,17827795,0,nscratch,nscratch-ffff8c3bba1c8800,0,0,494198172353,372908914942,0,0,54072,244135,244135,1584,6852817,0,107664409,36,356,162,17114,0,281681,0,0,436,18,76,0,59938,3114,2683,62074,72,134419,87782,78,17264,1894841
1701413634.001936,600029,17827795,0,pscratch,pscratch-ffff8c3bba1cf000,0,0,4690487620832,13289835399987,0,0,680711,2409844,2409841,283621,130179124,154722,292502607,12816,114330,12273,193839,0,12717108,0,0,125382,2156,6740,6085,176018,11676,7386,246912,12,235587,214937,13,205195,3568619874
1701413635.001501,600029,17827795,0,nscratch,nscratch-ffff8c3bba1c8800,0,0,494198172353,372908914942,0,0,54072,244135,244135,1584,6852817,0,107664409,36,356,162,17114,0,281681,0,0,436,18,76,0,59938,3114,2683,62074,72,134419,87782,78,17264,1894841
1701413635.001646,600029,17827795,0,pscratch,pscratch-ffff8c3bba1cf000,0,0,4690487620832,13289835401457,0,0,680711,2409844,2409841,283621,130179124,154722,292502607,12816,114330,12273,193839,0,12717108,0,0,125382,2156,6740,6085,176018,11676,7386,246912,12,235587,214937,13,205195,3568619874
1701413636.002021,600029,17827795,0,nscratch,nscratch-ffff8c3bba1c8800,0,0,494198172353,372908914942,0,0,54072,244135,244135,1584,6852817,0,107664409,36,356,162,17114,0,281681,0,0,436,18,76,0,59938,3114,2683,62074,72,134419,87782,78,17264,1894841
1701413636.002127,600029,17827795,0,pscratch,pscratch-ffff8c3bba1cf000,0,0,4690487620832,13289835401457,0,0,680711,2409844,2409841,283621,130179124,154722,292502607,12816,114330,12273,193839,0,12717108,0,0,125382,2156,6740,6085,176018,11676,7386,246912,12,235587,214937,13,205195,3568619874
1701413637.000526,600029,17827795,0,nscratch,nscratch-ffff8c3bba1c8800,0,0,494198172353,372908914942,0,0,54072,244135,244135,1584,6852817,0,107664409,36,356,162,17114,0,281681,0,0,436,18,76,0,59938,3114,2683,62074,72,134419,87782,78,17264,1894841
1701413637.000650,600029,17827795,0,pscratch,pscratch-ffff8c3bba1cf000,0,0,4690487620832,13289835402073,0,0,680711,2409844,2409841,283621,130179124,154722,292502607,12816,114330,12273,193839,0,12717108,0,0,125382,2156,6740,6085,176018,11676,7386,246912,12,235587,214937,13,205195,3568619874
1701413638.001088,600029,17827795,0,nscratch,nscratch-ffff8c3bba1c8800,0,0,494198172353,372908914942,0,0,54072,244135,244135,1584,6852817,0,107664409,36,356,162,17114,0,281681,0,0,436,18,76,0,59938,3114,2683,62074,72,134419,87782,78,17264,1894841
1701413638.001176,600029,17827795,0,pscratch,pscratch-ffff8c3bba1cf000,0,0,4690487620832,13289835402943,0,0,680711,2409844,2409841,283621,130179124,154722,292502607,12816,114330,12273,193839,0,12717108,0,0,125382,2156,6740,6085,176018,11676,7386,246912,12,235587,214937,13,205195,3568619874
