# darshan log version: 3.41
# compression method: ZLIB
# exe: 
# uid: 12345
# jobid: 17209778
# start_time: 1694923004
# start_time_asci: Sat Sep 16 21:56:44 2023
# end_time: 1694923021
# end_time_asci: Sat Sep 16 21:57:01 2023
# nprocs: 32
# run time: 16.7282
# metadata: lib_ver = 3.4.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 1328 bytes (uncompressed)
# job data: 144 bytes (compressed)
# record table: 2416 bytes (compressed)
# POSIX module: 5687 bytes (compressed), ver=4
# LUSTRE module: 1205 bytes (compressed), ver=1
# STDIO module: 57 bytes (compressed), ver=2
# DXT_POSIX module: 10459 bytes (compressed), ver=1
# HEATMAP module: 8045 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 11565115021251038815, file_name: /pscratch/user/haccTest/darshan-Part00000000-of-00000032.data
# DXT, rank: 0, hostname: ec3
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       3  write        5      2025165824       400000000      6.2244      6.6922
 X_POSIX       3  write        6      2425165824       400000000      6.6923      7.1674
 X_POSIX       3  write        7      2825165824       800000000      7.1675      8.1348
 X_POSIX       3  write        8      3625165824       200000000      8.1349      8.3690
 X_POSIX       3  write        9               0        25165824      8.3691      8.3984
 X_POSIX       3   read        0               0        25165824      8.4018      8.4169
 X_POSIX       3   read        1        25165824       400000000      8.4184      8.6993
 X_POSIX       3   read        2       425165824       400000000      8.6994      8.9680
 X_POSIX       3   read        3       825165824       400000000      8.9681      9.2071
 X_POSIX       3   read        4      1225165824       400000000      9.2072      9.4406
 X_POSIX       3   read        5      1625165824       400000000      9.4407      9.6875
 X_POSIX       3   read        6      2025165824       400000000      9.6876      9.9273
 X_POSIX       3   read        7      2425165824       400000000      9.9274     10.1637
 X_POSIX       3   read        8      2825165824       800000000     10.1638     10.6358
 X_POSIX       3   read        9      3625165824       200000000     10.6359     10.7553

# DXT, file_id: 15107931838529066586, file_name: /pscratch/user/haccTest/darshan-Part00000004-of-00000032.data
# DXT, rank: 4, hostname: ec5
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       4  write        0        25165824       400000000      3.8754      4.3097
 X_POSIX       4  write        1       425165824       400000000      4.3098      4.7314
 X_POSIX       4  write        2       825165824       400000000      4.7315      5.1801
 X_POSIX       4  write        3      1225165824       400000000      5.1802      5.6431
 X_POSIX       4  write        4      1625165824       400000000      5.6431      6.1003
 X_POSIX       4  write        5      2025165824       400000000      6.1004      6.5603
 X_POSIX       4  write        6      2425165824       400000000      6.5604      7.0362
 X_POSIX       4  write        7      2825165824       800000000      7.0363      8.0133
 X_POSIX       4  write        8      3625165824       200000000      8.0134      8.2434
 X_POSIX       4  write        9               0        25165824      8.2435      8.2718
 X_POSIX       4   read        0               0        25165824      9.2146      9.2314
 X_POSIX       4   read        1        25165824       400000000      9.2330      9.5035
 X_POSIX       4   read        2       425165824       400000000      9.5037      9.7434
 X_POSIX       4   read        3       825165824       400000000      9.7435      9.9748
 X_POSIX       4   read        4      1225165824       400000000      9.9749     10.2031
 X_POSIX       4   read        5      1625165824       400000000     10.2032     10.4459
 X_POSIX       4   read        6      2025165824       400000000     10.4459     10.6786
 X_POSIX       4   read        7      2425165824       400000000     10.6786     10.9058
 X_POSIX       4   read        8      2825165824       800000000     10.9058     11.3575
 X_POSIX       4   read        9      3625165824       200000000     11.3576     11.4718

# DXT, file_id: 16469326234947104427, file_name: /pscratch/user/haccTest/darshan-Part00000005-of-00000032.data
# DXT, rank: 5, hostname: ec5
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       5  write        0        25165824       400000000      4.0760      4.5127
 X_POSIX       5  write        1       425165824       400000000      4.5128      4.9343
 X_POSIX       5  write        2       825165824       400000000      4.9344      5.3729
 X_POSIX       5  write        3      1225165824       400000000      5.3730      5.8375
 X_POSIX       5  write        4      1625165824       400000000      5.8376      6.2987
 X_POSIX       5  write        5      2025165824       400000000      6.2988      6.7568
 X_POSIX       5  write        6      2425165824       400000000      6.7569      7.2187
 X_POSIX       5  write        7      2825165824       800000000      7.2188      8.1939
 X_POSIX       5  write        8      3625165824       200000000      8.1940      8.4156
 X_POSIX       5  write        9               0        25165824      8.4157      8.4429
 X_POSIX       5   read        0               0        25165824      8.4461      8.4615
 X_POSIX       5   read        1        25165824       400000000      8.4626      8.7277
 X_POSIX       5   read        2       425165824       400000000      8.7278      8.9878
 X_POSIX       5   read        3       825165824       400000000      8.9879      9.2273
 X_POSIX       5   read        4      1225165824       400000000      9.2274      9.4750
 X_POSIX       5   read        5      1625165824       400000000      9.4751      9.7134
 X_POSIX       5   read        6      2025165824       400000000      9.7134      9.9481
 X_POSIX       5   read        7      2425165824       400000000      9.9481     10.1667
 X_POSIX       5   read        8      2825165824       800000000     10.1668     10.6223
 X_POSIX       5   read        9      3625165824       200000000     10.6224     10.7388

# DXT, file_id: 11250573249789628784, file_name: /pscratch/user/haccTest/darshan-Part00000006-of-00000032.data
# DXT, rank: 6, hostname: ec6
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       6  write        0        25165824       400000000      4.2247      4.6682
 X_POSIX       6  write        1       425165824       400000000      4.6683      5.1015
 X_POSIX       6  write        2       825165824       400000000      5.1016      5.5665
 X_POSIX       6  write        3      1225165824       400000000      5.5666      6.0622
 X_POSIX       6  write        4      1625165824       400000000      6.0623      6.5508
 X_POSIX       6  write        5      2025165824       400000000      6.5509      7.0308
 X_POSIX       6  write        6      2425165824       400000000      7.0309      7.5119
 X_POSIX       6  write        7      2825165824       800000000      7.5121      8.5121
 X_POSIX       6  write        8      3625165824       200000000      8.5121      8.7464
 X_POSIX       6  write        9               0        25165824      8.7465      8.7744
