# darshan log version: 3.41
# compression method: ZLIB
# exe: 
# uid: 12345
# jobid: 17210635
# start_time: 1694925717
# start_time_asci: Sat Sep 16 22:41:57 2023
# end_time: 1694925725
# end_time_asci: Sat Sep 16 22:42:05 2023
# nprocs: 32
# run time: 7.8205
# metadata: lib_ver = 3.4.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 1328 bytes (uncompressed)
# job data: 143 bytes (compressed)
# record table: 2416 bytes (compressed)
# POSIX module: 5682 bytes (compressed), ver=4
# LUSTRE module: 1206 bytes (compressed), ver=1
# STDIO module: 56 bytes (compressed), ver=2
# DXT_POSIX module: 10358 bytes (compressed), ver=1
# HEATMAP module: 6613 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 11565115021251038815, file_name: /pscratch/user/haccTest/darshan-Part00000000-of-00000032.data
# DXT, rank: 0, hostname: ec95
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       3  write        5      1025165824       200000000      2.9376      3.1804
 X_POSIX       3  write        6      1225165824       200000000      3.1805      3.4086
 X_POSIX       3  write        7      1425165824       400000000      3.4087      3.8416
 X_POSIX       3  write        8      1825165824       100000000      3.8417      3.9469
 X_POSIX       3  write        9               0        25165824      3.9470      3.9717
 X_POSIX       3   read        0               0        25165824      3.9748      3.9883
 X_POSIX       3   read        1        25165824       200000000      3.9894      4.1148
 X_POSIX       3   read        2       225165824       200000000      4.1149      4.2346
 X_POSIX       3   read        3       425165824       200000000      4.2347      4.3530
 X_POSIX       3   read        4       625165824       200000000      4.3531      4.4698
 X_POSIX       3   read        5       825165824       200000000      4.4699      4.5866
 X_POSIX       3   read        6      1025165824       200000000      4.5866      4.7028
 X_POSIX       3   read        7      1225165824       200000000      4.7029      4.8192
 X_POSIX       3   read        8      1425165824       400000000      4.8193      5.0594
 X_POSIX       3   read        9      1825165824       100000000      5.0595      5.1195

# DXT, file_id: 15107931838529066586, file_name: /pscratch/user/haccTest/darshan-Part00000004-of-00000032.data
# DXT, rank: 4, hostname: ec97
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       4  write        0        25165824       200000000      1.9989      2.2339
 X_POSIX       4  write        1       225165824       200000000      2.2340      2.4696
 X_POSIX       4  write        2       425165824       200000000      2.4697      2.7091
 X_POSIX       4  write        3       625165824       200000000      2.7092      2.9452
 X_POSIX       4  write        4       825165824       200000000      2.9454      3.1875
 X_POSIX       4  write        5      1025165824       200000000      3.1876      3.4355
 X_POSIX       4  write        6      1225165824       200000000      3.4356      3.6726
 X_POSIX       4  write        7      1425165824       400000000      3.6727      4.1146
 X_POSIX       4  write        8      1825165824       100000000      4.1147      4.2121
 X_POSIX       4  write        9               0        25165824      4.2122      4.2355
 X_POSIX       4   read        0               0        25165824      4.2387      4.2537
 X_POSIX       4   read        1        25165824       200000000      4.2551      4.3921
 X_POSIX       4   read        2       225165824       200000000      4.3922      4.5252
 X_POSIX       4   read        3       425165824       200000000      4.5253      4.6561
 X_POSIX       4   read        4       625165824       200000000      4.6562      4.7867
 X_POSIX       4   read        5       825165824       200000000      4.7868      4.9161
 X_POSIX       4   read        6      1025165824       200000000      4.9162      5.0429
 X_POSIX       4   read        7      1225165824       200000000      5.0430      5.1674
 X_POSIX       4   read        8      1425165824       400000000      5.1674      5.4200
 X_POSIX       4   read        9      1825165824       100000000      5.4201      5.4820

# DXT, file_id: 16469326234947104427, file_name: /pscratch/user/haccTest/darshan-Part00000005-of-00000032.data
# DXT, rank: 5, hostname: ec97
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       5  write        0        25165824       200000000      1.8833      2.1333
 X_POSIX       5  write        1       225165824       200000000      2.1335      2.3613
 X_POSIX       5  write        2       425165824       200000000      2.3614      2.5960
 X_POSIX       5  write        3       625165824       200000000      2.5961      2.8305
 X_POSIX       5  write        4       825165824       200000000      2.8306      3.0637
 X_POSIX       5  write        5      1025165824       200000000      3.0638      3.3051
 X_POSIX       5  write        6      1225165824       200000000      3.3051      3.5353
 X_POSIX       5  write        7      1425165824       400000000      3.5354      3.9740
 X_POSIX       5  write        8      1825165824       100000000      3.9741      4.0805
 X_POSIX       5  write        9               0        25165824      4.0807      4.1056
 X_POSIX       5   read        0               0        25165824      4.1089      4.1222
 X_POSIX       5   read        1        25165824       200000000      4.1237      4.2500
 X_POSIX       5   read        2       225165824       200000000      4.2501      4.3755
 X_POSIX       5   read        3       425165824       200000000      4.3756      4.4986
 X_POSIX       5   read        4       625165824       200000000      4.4987      4.6208
