timestamp,component_id,job_id,app_id,fs_name,llite,dirty_pages_hits,dirty_pages_misses,read_bytes.sum,write_bytes.sum,brw_read.sum,brw_write.sum,ioctl,open,close,mmap,page_fault,page_mkwrite,seek,fsync,readdir,setattr,truncate,flock,getattr,create,link,unlink,symlink,mkdir,rmdir,mknod,rename,statfs,alloc_inode,setxattr,getxattr,getxattr_hits,listxattr,removexattr,inode_permission
1701384561.002108,600032,17824838,0,nscratch,nscratch-ffff908f7953b000,0,0,129333007894,144694500342,0,0,56348,184150,184150,1541,5078946,3651,18854429,59,932,27,11967,0,420385,0,9,3471,9,74,252,45351,2074,2302,103749,10,95191,61953,8,11994,4042267
1701384561.002215,600032,17824838,0,pscratch,pscratch-ffff908f5e1c6800,0,0,3185554380666,8131881251022,0,0,1249483,6545386,6545384,603277,150617045,182193,328390938,9504,284771,40899,166284,0,21347460,0,0,206036,3088,20392,19637,253507,46625,4739,460083,0,322258,301096,0,203548,7904739335
1701384562.000533,600032,17824838,0,nscratch,nscratch-ffff908f7953b000,0,0,129333007894,144694500342,0,0,56348,184150,184150,1541,5078946,3651,18854429,59,932,27,11967,0,420385,0,9,3471,9,74,252,45351,2074,2302,103749,10,95191,61953,8,11994,4042267
1701384562.000619,600032,17824838,0,pscratch,pscratch-ffff908f5e1c6800,0,0,3185554380666,8131881251022,0,0,1249483,6545386,6545384,603277,150617045,182193,328390938,9504,284771,40899,166284,0,21347460,0,0,206036,3088,20392,19637,253507,46625,4739,460083,0,322258,301096,0,203548,7904739335
1701384563.002117,600032,17824838,0,nscratch,nscratch-ffff908f7953b000,0,0,129333007894,144694500342,0,0,56348,184150,184150,1541,5078946,3651,18854429,59,932,27,11967,0,420385,0,9,3471,9,74,252,45351,2074,2302,103749,10,95191,61953,8,11994,4042267
1701384563.002243,600032,17824838,0,pscratch,pscratch-ffff908f5e1c6800,0,0,3185554380666,8131881251022,0,0,1249483,6545386,6545384,603277,150617045,182193,328390938,9504,284771,40899,166284,0,21347460,0,0,206036,3088,20392,19637,253507,46625,4739,460083,0,322258,301096,0,203548,7904739335
1701384564.001664,600032,17824838,0,nscratch,nscratch-ffff908f7953b000,0,0,129333007894,144694500342,0,0,56348,184150,184150,1541,5078946,3651,18854429,59,932,27,11967,0,420385,0,9,3471,9,74,252,45351,2074,2302,103749,10,95191,61953,8,11994,4042267
1701384564.001797,600032,17824838,0,pscratch,pscratch-ffff908f5e1c6800,0,0,3185554380666,8131881251022,0,0,1249483,6545386,6545384,603277,150617045,182193,328390938,9504,284771,40899,166284,0,21347460,0,0,206036,3088,20392,19637,253507,46625,4739,460083,0,322258,301096,0,203548,7904739335
1701384565.002055,600032,17824838,0,nscratch,nscratch-ffff908f7953b000,0,0,129333007894,144694500342,0,0,56348,184150,184150,1541,5078946,3651,18854429,59,932,27,11967,0,420385,0,9,3471,9,74,252,45351,2074,2302,103749,10,95191,61953,8,11994,4042267
1701384565.002167,600032,17824838,0,pscratch,pscratch-ffff908f5e1c6800,0,0,3185554380666,8131881251022,0,0,1249483,6545386,6545384,603277,150617045,182193,328390938,9504,284771,40899,166284,0,21347460,0,0,206036,3088,20392,19637,253507,46625,4739,460083,0,322258,301096,0,203548,7904739335
