timestamp,component_id,job_id,app_id,fs_name,llite,dirty_pages_hits,dirty_pages_misses,read_bytes.sum,write_bytes.sum,brw_read.sum,brw_write.sum,ioctl,open,close,mmap,page_fault,page_mkwrite,seek,fsync,readdir,setattr,truncate,flock,getattr,create,link,unlink,symlink,mkdir,rmdir,mknod,rename,statfs,alloc_inode,setxattr,getxattr,getxattr_hits,listxattr,removexattr,inode_permission
1701389941.001295,600035,17825236,0,nscratch,nscratch-ffff8bd07d265800,0,0,312346267607,164870656220,0,0,49180,816256,816256,2390,6525529,7390,63184591,112,760,0,15581,0,593564,0,0,669,0,60,0,43099,3228,1786,45461,0,114754,77185,0,15581,4031216
1701389941.001365,600035,17825236,0,pscratch,pscratch-ffff8bc07b9a2000,0,0,3216546116579,8156320465744,0,0,759973,3266463,3266461,129566,134673790,209651,360030370,13416,76330,19615,161489,0,13054692,0,0,148408,2687,12032,11195,198826,24198,10322,311972,0,315136,294754,0,179283,4876054155
1701389942.001732,600035,17825236,0,nscratch,nscratch-ffff8bd07d265800,0,0,312346267607,164870656220,0,0,49180,816256,816256,2390,6525529,7390,63184591,112,760,0,15581,0,593564,0,0,669,0,60,0,43099,3228,1786,45461,0,114754,77185,0,15581,4031216
1701389942.001867,600035,17825236,0,pscratch,pscratch-ffff8bc07b9a2000,0,0,3216546116579,8156320465744,0,0,759973,3266463,3266461,129566,134673790,209651,360030370,13416,76330,19615,161489,0,13054692,0,0,148408,2687,12032,11195,198826,24198,10322,311972,0,315136,294754,0,179283,4876054155
1701389943.002202,600035,17825236,0,nscratch,nscratch-ffff8bd07d265800,0,0,312346267607,164870656220,0,0,49180,816256,816256,2390,6525529,7390,63184591,112,760,0,15581,0,593564,0,0,669,0,60,0,43099,3228,1786,45461,0,114754,77185,0,15581,4031216
1701389943.002278,600035,17825236,0,pscratch,pscratch-ffff8bc07b9a2000,0,0,3216546116579,8156320465744,0,0,759973,3266463,3266461,129566,134673790,209651,360030370,13416,76330,19615,161489,0,13054692,0,0,148408,2687,12032,11195,198826,24198,10322,311972,0,315136,294754,0,179283,4876054155
1701389944.001546,600035,17825236,0,nscratch,nscratch-ffff8bd07d265800,0,0,312346267607,164870656220,0,0,49180,816256,816256,2390,6525529,7390,63184591,112,760,0,15581,0,593564,0,0,669,0,60,0,43099,3228,1786,45461,0,114754,77185,0,15581,4031216
1701389944.001677,600035,17825236,0,pscratch,pscratch-ffff8bc07b9a2000,0,0,3216546116579,8156320465744,0,0,759973,3266463,3266461,129566,134673790,209651,360030370,13416,76330,19615,161489,0,13054692,0,0,148408,2687,12032,11195,198826,24198,10322,311972,0,315136,294754,0,179283,4876054155
1701389945.002061,600035,17825236,0,nscratch,nscratch-ffff8bd07d265800,0,0,312346267607,164870656220,0,0,49180,816256,816256,2390,6525529,7390,63184591,112,760,0,15581,0,593564,0,0,669,0,60,0,43099,3228,1786,45461,0,114754,77185,0,15581,4031216
1701389945.002154,600035,17825236,0,pscratch,pscratch-ffff8bc07b9a2000,0,0,3216546116579,8156320465744,0,0,759973,3266463,3266461,129566,134673790,209651,360030370,13416,76330,19615,161489,0,13054692,0,0,148408,2687,12032,11195,198826,24198,10322,311972,0,315136,294754,0,179283,4876054155
1701389946.001557,600035,17825236,0,nscratch,nscratch-ffff8bd07d265800,0,0,312346267607,164870656220,0,0,49180,816256,816256,2390,6525529,7390,63184591,112,760,0,15581,0,593564,0,0,669,0,60,0,43099,3228,1786,45461,0,114754,77185,0,15581,4031216
1701389946.001623,600035,17825236,0,pscratch,pscratch-ffff8bc07b9a2000,0,0,3216546116579,8156320465744,0,0,759973,3266464,3266461,129566,134673790,209651,360030370,13416,76330,19615,161489,0,13054692,0,0,148408,2687,12032,11195,198827,24198,10322,311973,0,315136,294754,0,179283,4876054160
1701389947.001808,600035,17825236,0,nscratch,nscratch-ffff8bd07d265800,0,0,312346267607,164870656220,0,0,49180,816256,816256,2390,6525529,7390,63184591,112,760,0,15581,0,593564,0,0,669,0,60,0,43099,3228,1786,45461,0,114754,77185,0,15581,4031216
1701389947.001920,600035,17825236,0,pscratch,pscratch-ffff8bc07b9a2000,0,0,3216546116579,8156320468376,0,0,759973,3266464,3266461,129566,134673790,209651,360030370,13416,76330,19615,161489,0,13054693,0,0,148408,2687,12032,11195,198827,24198,10322,311973,0,315136,294754,0,179283,4876054160
1701389948.001560,600035,17825236,0,nscratch,nscratch-ffff8bd07d265800,0,0,312346267607,164870656220,0,0,49180,816256,816256,2390,6525529,7390,63184591,112,760,0,15581,0,593564,0,0,669,0,60,0,43099,3228,1787,45461,0,114754,77185,0,15581,4031216
1701389948.001657,600035,17825236,0,pscratch,pscratch-ffff8bc07b9a2000,0,0,3216546116579,8156320470199,0,0,759973,3266464,3266461,129566,134673790,209651,360030370,13416,76330,19615,161489,0,13054694,0,0,148408,2687,12032,11195,198827,24198,10323,311973,0,315136,294754,0,179283,4876054160
1701389949.002111,600035,17825236,0,nscratch,nscratch-ffff8bd07d265800,0,0,312346267607,164870656220,0,0,49180,816256,816256,2390,6525529,7390,63184591,112,760,0,15581,0,593564,0,0,669,0,60,0,43099,3228,1787,45461,0,114754,77185,0,15581,4031216
1701389949.002241,600035,17825236,0,pscratch,pscratch-ffff8bc07b9a2000,0,0,3216546116579,8156320472031,0,0,759973,3266464,3266461,129566,134673790,209651,360030370,13416,76330,19615,161489,0,13054694,0,0,148408,2687,12032,11195,198827,24198,10323,311973,0,315136,294754,0,179283,4876054160
1701389950.001394,600035,17825236,0,nscratch,nscratch-ffff8bd07d265800,0,0,312346267607,164870656220,0,0,49180,816256,816256,2390,6525529,7390,63184591,112,760,0,15581,0,593564,0,0,669,0,60,0,43099,3228,1787,45461,0,114754,77185,0,15581,4031216
1701389950.001480,600035,17825236,0,pscratch,pscratch-ffff8bc07b9a2000,0,0,3216546116579,8156320472031,0,0,759973,3266464,3266461,129566,134673790,209651,360030370,13416,76330,19615,161489,0,13054694,0,0,148408,2687,12032,11195,198827,24198,10323,311973,0,315136,294754,0,179283,4876054160
